name,movie,date,rating
Raphaël Stella,Fight Club (1999),2021-02-17,3
Arthur Di Marco,The Matrix (1999),2020-07-02,1
Exupéry Rouge,The Shawshank Redemption (1994),2021-03-08,5
Mathieu Nicolier,The Lord of the Rings: The Fellowship of the Ring (2001),2020-11-25,2
Murièle Badillo,Fight Club (1999),2020-11-08,3
Olivier Philippe Terra,The Lord of the Rings: The Return of the King (2003),2020-07-03,2
Thierry Mérot,12 Angry Men (1957),2021-06-25,4
Laurence Kairouani,"The Good, the Bad and the Ugly (1966)",2020-07-12,3
Andrea Bouriche,Schindler's List (1993),2020-08-08,4
Corentin Pravaz,The Shawshank Redemption (1994),2020-10-12,5
Ericka Rordorf,The Shawshank Redemption (1994),2020-07-18,4
Christophe Rouge,Schindler's List (1993),2021-01-01,3
Manuel La Spada,The Lord of the Rings: The Return of the King (2003),2020-11-21,2
Sylvain Badillo,The Lord of the Rings: The Two Towers (2002),2021-01-19,2
Mohammed Terra,Schindler's List (1993),2020-12-05,4
Quentin Franco,Inception (2010),2021-03-02,1
Olivier Philippe Badillo,The Lord of the Rings: The Fellowship of the Ring (2001),2021-06-26,2
Mohammed Rami,The Shawshank Redemption (1994),2020-09-28,4
Mélissa Mettreaux,The Godfather: Part II (1974),2020-12-26,3
Ericka Berclaz,The Shawshank Redemption (1994),2021-02-06,4
Patrick La Spada,12 Angry Men (1957),2020-11-18,4
Ericka Lavanchy,Schindler's List (1993),2020-07-21,3
Olivier Montmollin,Inception (2010),2021-01-11,1
Patrick Bouriche,The Shawshank Redemption (1994),2020-09-11,4
Marie Franco,The Godfather (1972),2020-08-05,4
Marie Terra,The Matrix (1999),2021-01-22,2
Olivier Philippe Olsen,Forrest Gump (1994),2020-08-29,2
Laurence Pravaz,The Lord of the Rings: The Fellowship of the Ring (2001),2020-12-25,2
Andrea Rouge,12 Angry Men (1957),2021-04-11,4
Georges La Spada,Fight Club (1999),2020-12-26,2
Simon Di Marco,The Lord of the Rings: The Return of the King (2003),2021-02-16,3
Mélissa Pravaz,The Dark Knight (2008),2021-04-25,4
Mélissa Mérot,"The Good, the Bad and the Ugly (1966)",2020-12-14,2
Mélissa La Spada,The Lord of the Rings: The Fellowship of the Ring (2001),2021-05-07,2
Patrick Badillo,The Matrix (1999),2020-11-20,2
Julien Mutti,The Lord of the Rings: The Return of the King (2003),2021-02-03,2
Patrick Kunz,The Godfather (1972),2021-01-05,4
Georges Di Marco,Inception (2010),2020-09-23,2
Frédéric Stella,Schindler's List (1993),2021-06-16,4
Marie Rossi,The Matrix (1999),2021-03-01,2
Manuel Di Marco,The Dark Knight (2008),2020-07-29,4
Olivier Philippe Mettreaux,The Godfather (1972),2021-01-24,4
Yannick Stella,Schindler's List (1993),2021-06-19,3
Georges Stella,The Shawshank Redemption (1994),2021-05-02,4
Simon Zanoun,Schindler's List (1993),2020-07-20,3
Andrea Rossi,The Godfather (1972),2020-10-18,3
Olivier Tristan Kocher,The Lord of the Rings: The Return of the King (2003),2020-12-19,2
Julia Kunz,"The Good, the Bad and the Ugly (1966)",2020-11-13,3
Mélissa Montmollin,The Godfather: Part II (1974),2021-01-12,4
Murièle Olsen,Schindler's List (1993),2021-04-19,4
Marie Nicolier,The Godfather: Part II (1974),2020-11-19,4
Olivier Philippe Rouge,"The Good, the Bad and the Ugly (1966)",2021-06-07,3
Georges La Spada,One Flew Over the Cuckoo's Nest (1975),2021-05-20,0
Julien Nicolier,"The Good, the Bad and the Ugly (1966)",2021-05-20,2
Mouhssine Lavanchy,The Lord of the Rings: The Return of the King (2003),2020-09-23,3
Christophe Di Marco,Star Wars: Episode V - The Empire Strikes Back (1980),2021-05-20,1
Nicolas Zanoun,The Godfather (1972),2020-12-16,4
Manuel Badillo,The Matrix (1999),2020-10-17,2
Andrea La Spada,Forrest Gump (1994),2020-10-03,1
Yannick Tristan Kocher,"The Good, the Bad and the Ugly (1966)",2020-09-26,2
Laurence Rordorf,The Lord of the Rings: The Fellowship of the Ring (2001),2021-05-08,3
Arthur Verdan,Schindler's List (1993),2020-12-27,3
Laurence Olsen,Schindler's List (1993),2021-06-04,3
Thierry Fragnière,The Lord of the Rings: The Fellowship of the Ring (2001),2020-10-21,3
Laurence Rossi,Forrest Gump (1994),2020-09-04,1
Sylvain Andoine,One Flew Over the Cuckoo's Nest (1975),2021-03-09,1
Frédéric Dromard,12 Angry Men (1957),2020-12-21,3
Antonio La Spada,Fight Club (1999),2020-07-09,2
Simon Franco,The Dark Knight (2008),2020-06-30,3
Corentin Mettreaux,Fight Club (1999),2021-02-16,2
Mouhssine Fragnière,One Flew Over the Cuckoo's Nest (1975),2020-10-31,1
Andrea Olsen,"The Good, the Bad and the Ugly (1966)",2021-04-19,2
Ericka Dumas,The Godfather: Part II (1974),2020-12-28,4
Julia Mettreaux,The Dark Knight (2008),2021-03-31,4
Antonio Milio,The Shawshank Redemption (1994),2021-03-31,5
Mouhssine La Spada,Forrest Gump (1994),2021-05-29,2
Frédéric Bouriche,The Godfather (1972),2021-02-01,3
Mohammed Fragnière,Forrest Gump (1994),2020-09-13,2
Mélissa Stella,The Shawshank Redemption (1994),2021-02-01,5
Arthur Rami,Fight Club (1999),2021-02-07,2
Sélim Kairouani,Pulp Fiction (1994),2021-04-21,3
Patrick Kunz,The Lord of the Rings: The Fellowship of the Ring (2001),2021-01-12,3
Quentin Mérot,Forrest Gump (1994),2021-06-25,2
Mohammed Di Marco,The Dark Knight (2008),2020-11-28,3
Corentin Mutti,Forrest Gump (1994),2020-07-25,2
Mathieu Milio,Seven Samurai (1954),2021-06-16,0
Manuel Andoine,The Godfather: Part II (1974),2020-10-21,3
Raphaël Verdan,12 Angry Men (1957),2021-01-31,3
Olivier Philippe Jacquier,The Godfather: Part II (1974),2020-08-30,4
Ericka Pravaz,Inception (2010),2021-04-09,2
Manuel Gerez,12 Angry Men (1957),2020-08-24,3
Quentin Lavanchy,Fight Club (1999),2021-03-23,2
Marie Berclaz,The Godfather: Part II (1974),2020-10-18,3
Quentin Nicolier,Forrest Gump (1994),2020-09-09,1
Julien Rordorf,The Shawshank Redemption (1994),2021-01-03,5
Mohammed Stella,The Shawshank Redemption (1994),2021-01-24,4
Julia Mutti,"The Good, the Bad and the Ugly (1966)",2021-03-17,3
Mouhssine Kunz,Seven Samurai (1954),2021-01-13,0
Thierry Andoine,The Shawshank Redemption (1994),2021-02-16,5
Marie Badillo,The Lord of the Rings: The Return of the King (2003),2021-01-03,3
Andrea Bouriche,Fight Club (1999),2020-08-31,3
Arthur Bouriche,The Shawshank Redemption (1994),2020-08-01,4
Antonio Rouge,The Godfather: Part II (1974),2021-02-20,3
Simon Gerez,"The Good, the Bad and the Ugly (1966)",2020-06-30,2
Yannick Mutti,Star Wars: Episode V - The Empire Strikes Back (1980),2020-09-28,1
Mohammed Rossi,Schindler's List (1993),2021-03-29,3
Frédéric Mérot,The Lord of the Rings: The Fellowship of the Ring (2001),2021-05-03,3
Sélim Kairouani,The Godfather: Part II (1974),2021-02-21,4
Patrick Stella,The Lord of the Rings: The Return of the King (2003),2020-09-04,3
Exupéry Berclaz,12 Angry Men (1957),2021-03-14,4
Simon Rossi,The Godfather: Part II (1974),2020-10-11,4
Antonio Rouge,The Lord of the Rings: The Two Towers (2002),2020-09-13,2
Patrick Zanoun,The Lord of the Rings: The Return of the King (2003),2021-03-08,2
Raphaël Terra,12 Angry Men (1957),2021-01-25,4
Olivier Philippe Dumas,Inception (2010),2021-06-23,2
Mouhssine Tristan Kocher,The Lord of the Rings: The Two Towers (2002),2020-08-30,1
Georges Olsen,"The Good, the Bad and the Ugly (1966)",2021-03-29,3
Manuel Montmollin,The Godfather (1972),2020-09-27,4
Mouhssine Montmollin,"The Good, the Bad and the Ugly (1966)",2020-07-11,2
Michelle Fragnière,The Lord of the Rings: The Fellowship of the Ring (2001),2020-10-26,3
Andrea Dumas,The Matrix (1999),2020-08-22,1
Mohammed Verdan,12 Angry Men (1957),2021-01-11,3
Thierry Milio,The Godfather (1972),2020-06-30,4
Raphaël Rordorf,Pulp Fiction (1994),2020-08-10,3
Raphaël Mettreaux,"The Good, the Bad and the Ugly (1966)",2020-07-31,3
Laurence Mutti,Star Wars: Episode V - The Empire Strikes Back (1980),2021-02-13,2
Murièle Badillo,The Dark Knight (2008),2020-11-11,4
Sélim Franco,The Shawshank Redemption (1994),2021-06-25,5
Sylvain Fragnière,The Lord of the Rings: The Fellowship of the Ring (2001),2021-04-15,3
Yannick Rordorf,Schindler's List (1993),2021-05-03,3
Enea Pravaz,Seven Samurai (1954),2020-09-20,1
Sylvain Kairouani,The Shawshank Redemption (1994),2021-04-02,5
Quentin Tristan Kocher,The Godfather (1972),2020-07-01,3
Simon Franco,Schindler's List (1993),2021-02-19,4
Olivier Franco,The Godfather (1972),2021-05-19,3
Manuel Mutti,The Lord of the Rings: The Fellowship of the Ring (2001),2020-10-22,2
Nicolas Zanoun,The Shawshank Redemption (1994),2020-09-20,4
Thierry Rossi,Seven Samurai (1954),2020-11-05,1
Frédéric Mettreaux,The Godfather: Part II (1974),2020-08-06,4
Georges Tristan Kocher,The Shawshank Redemption (1994),2020-07-07,4
Mathieu Andoine,"The Good, the Bad and the Ugly (1966)",2020-11-25,3
Nicolas Rami,Inception (2010),2021-01-14,1
Sylvain Montmollin,The Godfather (1972),2021-06-27,3
Exupéry Pravaz,"The Good, the Bad and the Ugly (1966)",2020-12-03,3
Nicolas Dumas,The Lord of the Rings: The Two Towers (2002),2021-01-14,1
Nicolas Rordorf,Schindler's List (1993),2020-07-12,3
Olivier Tristan Kocher,One Flew Over the Cuckoo's Nest (1975),2020-12-08,1
Murièle Kunz,The Godfather (1972),2020-08-08,3
Michelle Rordorf,Forrest Gump (1994),2021-03-08,1
Corentin Montmollin,The Dark Knight (2008),2020-09-23,4
Laurence Terra,Forrest Gump (1994),2020-08-19,2
Julien Olsen,The Lord of the Rings: The Two Towers (2002),2021-06-26,1
Murièle Stella,Seven Samurai (1954),2020-10-27,1
Exupéry Mutti,The Godfather: Part II (1974),2021-06-16,4
Murièle Zanoun,Inception (2010),2021-06-16,2
Exupéry Jacquier,Fight Club (1999),2021-01-05,3
Raphaël Mettreaux,The Lord of the Rings: The Two Towers (2002),2021-01-07,1
Antonio Dromard,The Godfather (1972),2020-09-16,3
Laurence Tristan Kocher,Schindler's List (1993),2021-01-04,3
Olivier Lavanchy,The Godfather (1972),2021-05-19,3
Marie Nicolier,Inception (2010),2021-01-14,2
Patrick Kairouani,The Lord of the Rings: The Return of the King (2003),2021-03-03,2
Nicolas Lavanchy,The Lord of the Rings: The Fellowship of the Ring (2001),2020-10-23,2
Corentin Verdan,Inception (2010),2020-07-08,1
Mélissa Rossi,The Lord of the Rings: The Return of the King (2003),2020-08-18,3
Mohammed Berclaz,The Matrix (1999),2020-09-11,2
Yannick Montmollin,Fight Club (1999),2021-06-24,2
Frédéric Rossi,"The Good, the Bad and the Ugly (1966)",2021-03-24,2
Nicolas Kairouani,Forrest Gump (1994),2020-11-09,1
Patrick Gerez,The Lord of the Rings: The Fellowship of the Ring (2001),2021-05-23,3
Julia Terra,Star Wars: Episode V - The Empire Strikes Back (1980),2020-08-14,2
Olivier Mettreaux,The Shawshank Redemption (1994),2021-04-27,5
Julia La Spada,Forrest Gump (1994),2020-09-02,1
Corentin Jacquier,The Godfather: Part II (1974),2021-03-12,3
Frédéric Lavanchy,The Shawshank Redemption (1994),2021-04-01,4
Raphaël Tristan Kocher,The Dark Knight (2008),2021-06-18,4
Ericka Fragnière,Schindler's List (1993),2020-10-29,4
Michelle Bouriche,Star Wars: Episode V - The Empire Strikes Back (1980),2020-08-05,2
Olivier Philippe Rordorf,The Lord of the Rings: The Two Towers (2002),2021-03-01,1
Julia Mettreaux,The Lord of the Rings: The Fellowship of the Ring (2001),2021-02-17,2
Manuel La Spada,The Shawshank Redemption (1994),2021-06-03,4
Patrick Rossi,The Dark Knight (2008),2021-06-02,4
Simon La Spada,"The Good, the Bad and the Ugly (1966)",2021-04-01,2
Mathieu Milio,Schindler's List (1993),2021-04-20,4
Exupéry Kairouani,Pulp Fiction (1994),2021-03-17,3
Mouhssine Rordorf,The Lord of the Rings: The Fellowship of the Ring (2001),2020-07-07,3
Thierry Olsen,Forrest Gump (1994),2021-02-20,1
Yannick Jacquier,The Shawshank Redemption (1994),2021-02-01,4
Antonio Berclaz,Seven Samurai (1954),2020-12-24,0
Corentin Kairouani,"The Good, the Bad and the Ugly (1966)",2021-01-18,2
Andrea Milio,The Shawshank Redemption (1994),2021-03-20,4
Mohammed Milio,The Godfather: Part II (1974),2021-01-26,3
Laurence Nicolier,Inception (2010),2021-03-16,2
Michelle Berclaz,The Lord of the Rings: The Return of the King (2003),2021-03-16,2
Ericka Mutti,"The Good, the Bad and the Ugly (1966)",2020-09-29,3
Manuel Dumas,The Godfather: Part II (1974),2021-06-21,4
Sylvain Mettreaux,The Lord of the Rings: The Return of the King (2003),2021-06-03,3
Thierry Bouriche,"The Good, the Bad and the Ugly (1966)",2020-11-05,3
Olivier Dromard,Pulp Fiction (1994),2021-03-09,3
Olivier Gerez,The Godfather: Part II (1974),2020-07-11,3
Mélissa Franco,The Shawshank Redemption (1994),2020-07-01,5
Michelle Verdan,12 Angry Men (1957),2021-03-23,4
Olivier Tristan Kocher,Forrest Gump (1994),2021-03-27,1
Raphaël Rossi,The Lord of the Rings: The Two Towers (2002),2020-10-24,1
Antonio Berclaz,Star Wars: Episode V - The Empire Strikes Back (1980),2021-05-16,2
Yannick Dromard,"The Good, the Bad and the Ugly (1966)",2021-03-12,3
Sélim Tristan Kocher,The Matrix (1999),2021-06-09,2
Marie Zanoun,Pulp Fiction (1994),2020-09-11,3
Manuel Andoine,Seven Samurai (1954),2021-01-25,1
Michelle Rami,"The Good, the Bad and the Ugly (1966)",2021-01-10,3
Raphaël Rordorf,Goodfellas (1990),2021-06-09,0
Julien Olsen,The Lord of the Rings: The Fellowship of the Ring (2001),2020-07-05,3
Corentin Olsen,The Dark Knight (2008),2020-09-06,4
Laurence Rami,Fight Club (1999),2020-11-11,2
Mouhssine Mettreaux,The Lord of the Rings: The Two Towers (2002),2021-06-26,1
Julien Rouge,The Lord of the Rings: The Return of the King (2003),2020-07-19,3
Georges Kairouani,The Matrix (1999),2021-01-20,2
Thierry Rami,The Lord of the Rings: The Fellowship of the Ring (2001),2021-06-06,2
Mohammed Pravaz,Inception (2010),2021-04-11,2
Julia Dumas,The Dark Knight (2008),2021-02-21,3
Olivier Philippe Mutti,Forrest Gump (1994),2020-08-06,2
Raphaël Rordorf,Forrest Gump (1994),2020-09-13,2
Quentin Olsen,The Shawshank Redemption (1994),2020-11-14,5
Manuel Berclaz,Schindler's List (1993),2020-12-20,3
Enea Berclaz,The Shawshank Redemption (1994),2020-07-16,4
Christophe Nicolier,The Godfather (1972),2021-05-26,3
Christophe Gerez,The Godfather (1972),2020-12-27,4
Michelle Kunz,The Matrix (1999),2020-08-26,2
Raphaël Andoine,The Godfather (1972),2021-05-02,4
Ericka Mettreaux,Pulp Fiction (1994),2020-07-24,2
Mathieu Berclaz,Fight Club (1999),2020-09-15,2
Sylvain Jacquier,The Godfather: Part II (1974),2021-03-29,3
Quentin Olsen,The Lord of the Rings: The Return of the King (2003),2020-08-17,2
Patrick Mérot,12 Angry Men (1957),2021-06-02,3
Yannick Franco,Schindler's List (1993),2021-06-09,3
Mathieu La Spada,One Flew Over the Cuckoo's Nest (1975),2020-08-07,0
Frédéric Rossi,Pulp Fiction (1994),2020-08-11,3
Arthur Jacquier,The Godfather: Part II (1974),2020-07-13,4
Murièle Badillo,12 Angry Men (1957),2020-10-29,3
Frédéric Milio,The Godfather (1972),2021-02-03,3
Mathieu Badillo,The Matrix (1999),2020-11-14,2
Simon Mettreaux,Fight Club (1999),2021-02-14,2
Thierry Montmollin,12 Angry Men (1957),2021-03-10,4
Mélissa Mérot,The Lord of the Rings: The Two Towers (2002),2020-12-10,1
Murièle Mérot,Seven Samurai (1954),2020-09-29,0
Mathieu Montmollin,Pulp Fiction (1994),2021-02-17,3
Marie Kunz,The Lord of the Rings: The Two Towers (2002),2021-05-29,1
Georges Berclaz,The Matrix (1999),2020-07-22,2
Patrick Gerez,Pulp Fiction (1994),2021-01-09,3
Olivier Philippe Zanoun,The Shawshank Redemption (1994),2021-04-30,4
Olivier Philippe Kairouani,Star Wars: Episode V - The Empire Strikes Back (1980),2020-11-08,2
Yannick Pravaz,The Matrix (1999),2021-01-16,1
Georges La Spada,Seven Samurai (1954),2021-03-17,0
Mouhssine Rami,The Lord of the Rings: The Two Towers (2002),2021-05-29,2
Mouhssine Kunz,Pulp Fiction (1994),2020-08-20,2
Arthur Lavanchy,Star Wars: Episode V - The Empire Strikes Back (1980),2021-06-19,1
Sylvain Rordorf,The Matrix (1999),2021-01-26,1
Murièle Lavanchy,The Godfather (1972),2021-02-26,3
Marie Jacquier,12 Angry Men (1957),2021-01-20,4
Manuel Mettreaux,"The Good, the Bad and the Ugly (1966)",2020-11-13,3
Julia Jacquier,The Lord of the Rings: The Fellowship of the Ring (2001),2021-05-01,2
Thierry Milio,Schindler's List (1993),2020-07-08,4
Enea Fragnière,Schindler's List (1993),2020-12-09,3
Mohammed Rouge,Pulp Fiction (1994),2020-11-29,3
Nicolas Dumas,The Godfather: Part II (1974),2020-12-23,4
Antonio Fragnière,One Flew Over the Cuckoo's Nest (1975),2020-09-08,0
Julia Lavanchy,"The Good, the Bad and the Ugly (1966)",2020-12-12,2
Thierry Verdan,One Flew Over the Cuckoo's Nest (1975),2020-08-05,0
Quentin Montmollin,The Shawshank Redemption (1994),2020-10-30,5
Sylvain Di Marco,The Lord of the Rings: The Fellowship of the Ring (2001),2021-01-11,3
Raphaël Milio,Pulp Fiction (1994),2020-08-23,3
Julien Dromard,The Godfather (1972),2020-10-27,3
Thierry Fragnière,The Shawshank Redemption (1994),2021-01-25,5
Mathieu Bouriche,The Lord of the Rings: The Two Towers (2002),2021-05-14,2
Murièle Montmollin,12 Angry Men (1957),2021-04-11,3
Mathieu Stella,"The Good, the Bad and the Ugly (1966)",2020-10-08,2
Olivier Philippe Milio,Inception (2010),2020-07-30,2
Exupéry Milio,Star Wars: Episode V - The Empire Strikes Back (1980),2020-09-01,1
Arthur Rossi,Pulp Fiction (1994),2020-10-30,2
Exupéry Milio,Fight Club (1999),2020-08-12,2
Manuel Dromard,12 Angry Men (1957),2021-06-12,3
Arthur Badillo,The Lord of the Rings: The Fellowship of the Ring (2001),2021-04-14,3
Julien La Spada,The Godfather: Part II (1974),2020-11-04,4
Julia Rordorf,Fight Club (1999),2020-12-19,2
Quentin Rouge,The Godfather (1972),2020-12-27,4
Michelle Bouriche,One Flew Over the Cuckoo's Nest (1975),2021-05-08,0
Julia Berclaz,The Godfather (1972),2021-03-12,4
Mélissa Di Marco,One Flew Over the Cuckoo's Nest (1975),2021-01-03,1
Michelle Gerez,The Lord of the Rings: The Two Towers (2002),2021-04-01,1
Sélim Franco,Pulp Fiction (1994),2020-09-24,2
Mélissa Mettreaux,Fight Club (1999),2021-05-13,3
Arthur Fragnière,The Shawshank Redemption (1994),2021-04-08,4
Mathieu Fragnière,The Lord of the Rings: The Fellowship of the Ring (2001),2020-09-14,3
Michelle Gerez,The Shawshank Redemption (1994),2020-11-10,4
Quentin Tristan Kocher,Inception (2010),2020-09-06,1
Ericka Milio,The Lord of the Rings: The Return of the King (2003),2021-01-26,3
Olivier Philippe Gerez,Pulp Fiction (1994),2021-06-05,2
Michelle Dumas,12 Angry Men (1957),2020-10-16,3
Quentin Berclaz,The Lord of the Rings: The Fellowship of the Ring (2001),2021-05-01,3
Manuel Andoine,12 Angry Men (1957),2021-03-19,3
Mouhssine Bouriche,Forrest Gump (1994),2021-04-03,1
Mohammed Kairouani,One Flew Over the Cuckoo's Nest (1975),2020-08-20,0
Corentin Verdan,Forrest Gump (1994),2020-07-11,1
Christophe Bouriche,Goodfellas (1990),2021-05-15,0
Olivier Rordorf,Schindler's List (1993),2020-09-07,3
Mouhssine Mérot,Forrest Gump (1994),2020-11-29,2
Mélissa Verdan,The Godfather: Part II (1974),2021-04-08,3
Simon Mettreaux,The Lord of the Rings: The Fellowship of the Ring (2001),2021-02-04,3
Manuel Bouriche,12 Angry Men (1957),2021-03-15,3
Julien Di Marco,Pulp Fiction (1994),2020-12-26,3
Laurence Lavanchy,12 Angry Men (1957),2021-02-14,4
Sélim Gerez,Forrest Gump (1994),2021-06-08,2
Andrea Rouge,The Godfather (1972),2021-02-05,3
Sélim Verdan,The Godfather (1972),2021-04-13,3
Manuel Olsen,The Shawshank Redemption (1994),2020-11-12,5
Simon Gerez,Schindler's List (1993),2021-05-16,4
Manuel Rouge,The Lord of the Rings: The Fellowship of the Ring (2001),2020-09-09,3
Enea Fragnière,The Lord of the Rings: The Two Towers (2002),2021-05-19,2
Thierry Kairouani,"The Good, the Bad and the Ugly (1966)",2020-10-13,3
Thierry Di Marco,Goodfellas (1990),2021-02-13,0
Mouhssine Pravaz,Fight Club (1999),2020-10-19,3
Manuel Kunz,The Lord of the Rings: The Return of the King (2003),2020-07-09,2
Michelle Verdan,Fight Club (1999),2021-05-15,3
Enea Mettreaux,The Lord of the Rings: The Return of the King (2003),2021-05-14,2
Michelle Fragnière,Schindler's List (1993),2020-08-27,4
Mélissa Lavanchy,The Dark Knight (2008),2020-12-06,4
Thierry Jacquier,One Flew Over the Cuckoo's Nest (1975),2021-03-23,0
Mouhssine Bouriche,Fight Club (1999),2020-09-29,3
Mathieu Franco,12 Angry Men (1957),2021-03-26,3
Antonio Rouge,The Dark Knight (2008),2021-02-16,3
Thierry La Spada,Pulp Fiction (1994),2020-10-31,2
Sylvain Andoine,Forrest Gump (1994),2020-08-03,1
Olivier Philippe Tristan Kocher,The Lord of the Rings: The Two Towers (2002),2021-05-08,2
Laurence Zanoun,"The Good, the Bad and the Ugly (1966)",2021-05-09,3
