name,movie,date,rating
Julien Verdan,"The Good, the Bad and the Ugly (1966)",2022-05-04,3
Mathieu Tristan Kocher,The Lord of the Rings: The Two Towers (2002),2021-12-19,2
Michelle Bouriche,Seven (1995),2021-07-13,1
Mohammed Badillo,"The Good, the Bad and the Ugly (1966)",2021-06-25,3
Yannick Jacquier,The Lord of the Rings: The Fellowship of the Ring (2001),2021-10-17,3
Laurence La Spada,Star Wars: Episode V - The Empire Strikes Back (1980),2021-12-27,2
Quentin Andoine,The Godfather: Part II (1974),2022-03-13,3
Nicolas Milio,The Lord of the Rings: The Fellowship of the Ring (2001),2022-04-10,3
Christophe Bouriche,"The Good, the Bad and the Ugly (1966)",2021-06-26,2
Sylvain Stella,Star Wars: Episode V - The Empire Strikes Back (1980),2022-06-09,1
Murièle Lavanchy,Forrest Gump (1994),2021-08-26,1
Exupéry Kairouani,The Lord of the Rings: The Two Towers (2002),2022-05-18,1
Andrea La Spada,The Lord of the Rings: The Two Towers (2002),2021-07-04,2
Marie Rordorf,The Shawshank Redemption (1994),2022-05-13,5
Mohammed La Spada,Forrest Gump (1994),2021-11-03,1
Yannick Verdan,The Lord of the Rings: The Fellowship of the Ring (2001),2021-12-03,2
Andrea Bouriche,The Lord of the Rings: The Fellowship of the Ring (2001),2022-02-13,3
Ericka Stella,Schindler's List (1993),2021-10-22,3
Corentin Olsen,12 Angry Men (1957),2022-05-15,3
Julia Mérot,12 Angry Men (1957),2022-01-11,3
Nicolas Olsen,The Lord of the Rings: The Two Towers (2002),2022-05-02,1
Mouhssine Bouriche,The Godfather: Part II (1974),2022-01-27,4
Manuel Mérot,12 Angry Men (1957),2021-10-01,4
Mélissa Zanoun,The Dark Knight (2008),2021-07-20,4
Patrick Stella,12 Angry Men (1957),2022-01-23,4
Nicolas Berclaz,The Godfather (1972),2021-06-22,3
Antonio Fragnière,The Godfather (1972),2021-10-14,3
Corentin Badillo,12 Angry Men (1957),2022-02-22,3
Mouhssine Kunz,The Godfather (1972),2022-01-09,3
Corentin Kunz,Goodfellas (1990),2021-11-11,0
Simon Lavanchy,The Dark Knight (2008),2022-03-29,3
Raphaël Bouriche,Schindler's List (1993),2021-12-06,3
Quentin Franco,Forrest Gump (1994),2021-07-10,1
Exupéry Berclaz,Star Wars: Episode V - The Empire Strikes Back (1980),2022-03-21,2
Julia Mettreaux,The Lord of the Rings: The Fellowship of the Ring (2001),2022-04-17,2
Exupéry Pravaz,The Shawshank Redemption (1994),2022-06-14,4
Mathieu Dromard,"The Good, the Bad and the Ugly (1966)",2021-12-21,3
Mélissa Rordorf,12 Angry Men (1957),2022-05-04,4
Murièle Terra,The Godfather (1972),2022-02-14,3
Sélim Badillo,"The Good, the Bad and the Ugly (1966)",2022-01-28,2
Arthur Mérot,Schindler's List (1993),2022-01-27,4
Exupéry Kunz,Fight Club (1999),2022-03-18,3
Frédéric Rossi,The Lord of the Rings: The Return of the King (2003),2021-07-26,3
Mohammed Badillo,The Lord of the Rings: The Fellowship of the Ring (2001),2021-08-29,3
Mouhssine Di Marco,Schindler's List (1993),2022-05-10,4
Patrick Rami,The Lord of the Rings: The Return of the King (2003),2021-09-23,2
Sélim Kunz,The Godfather: Part II (1974),2022-06-07,4
Sélim Verdan,The Matrix (1999),2021-10-10,1
Exupéry La Spada,The Shawshank Redemption (1994),2021-11-16,4
Corentin Mettreaux,The Shawshank Redemption (1994),2022-05-23,4
Georges Rordorf,The Godfather (1972),2021-07-04,4
Corentin Stella,The Lord of the Rings: The Return of the King (2003),2021-11-15,2
Ericka Dromard,Schindler's List (1993),2022-03-05,4
Marie Berclaz,The Lord of the Rings: The Return of the King (2003),2022-05-27,2
Arthur Stella,The Shawshank Redemption (1994),2021-11-12,5
Nicolas Rordorf,The Lord of the Rings: The Two Towers (2002),2021-10-13,1
Laurence Montmollin,12 Angry Men (1957),2021-11-12,3
Frédéric Zanoun,Schindler's List (1993),2021-10-16,4
Patrick Dromard,"The Good, the Bad and the Ugly (1966)",2021-07-23,2
Laurence Mérot,The Lord of the Rings: The Return of the King (2003),2022-04-09,2
Yannick Di Marco,12 Angry Men (1957),2022-04-27,4
Thierry Mutti,Star Wars: Episode V - The Empire Strikes Back (1980),2021-10-28,1
Simon Kunz,Pulp Fiction (1994),2021-11-06,3
Murièle Nicolier,The Lord of the Rings: The Two Towers (2002),2022-06-01,1
Mélissa Badillo,The Dark Knight (2008),2021-06-30,3
Olivier Philippe Andoine,12 Angry Men (1957),2022-03-03,3
Antonio Dromard,Forrest Gump (1994),2021-07-06,1
Yannick Dumas,The Godfather (1972),2022-06-04,3
Exupéry Bouriche,The Godfather: Part II (1974),2021-08-04,3
Olivier Philippe Lavanchy,The Dark Knight (2008),2021-11-05,3
Andrea Franco,The Godfather: Part II (1974),2021-12-14,3
Raphaël Pravaz,The Lord of the Rings: The Return of the King (2003),2022-05-09,3
Mathieu Lavanchy,Inception (2010),2022-06-15,2
Mouhssine Dromard,Forrest Gump (1994),2022-05-27,2
Arthur Pravaz,Fight Club (1999),2021-07-21,3
Antonio Montmollin,12 Angry Men (1957),2021-07-23,4
Mouhssine Tristan Kocher,The Godfather (1972),2021-11-16,3
Christophe Mettreaux,12 Angry Men (1957),2021-08-07,4
Olivier Philippe Di Marco,The Lord of the Rings: The Return of the King (2003),2021-08-03,3
Patrick Lavanchy,The Shawshank Redemption (1994),2021-06-26,5
Thierry Mérot,The Lord of the Rings: The Return of the King (2003),2021-07-26,3
Ericka Kunz,Schindler's List (1993),2021-07-26,4
Marie Terra,The Lord of the Rings: The Return of the King (2003),2021-12-07,2
Mohammed Rouge,Seven Samurai (1954),2021-10-22,0
Laurence Montmollin,The Dark Knight (2008),2021-12-25,3
Antonio Kunz,Goodfellas (1990),2022-05-07,1
Exupéry Terra,The Lord of the Rings: The Fellowship of the Ring (2001),2022-05-06,2
Olivier Rami,The Godfather (1972),2021-10-25,4
Christophe Kairouani,"The Good, the Bad and the Ugly (1966)",2021-11-22,2
Thierry Rossi,The Godfather (1972),2022-01-14,3
Manuel Mettreaux,The Lord of the Rings: The Fellowship of the Ring (2001),2022-01-31,2
Corentin Mutti,Forrest Gump (1994),2021-10-27,2
Nicolas Mettreaux,The Godfather (1972),2021-09-10,3
Exupéry Pravaz,Forrest Gump (1994),2022-05-15,2
Michelle Dromard,12 Angry Men (1957),2021-09-10,3
Mathieu Verdan,Forrest Gump (1994),2022-05-17,1
Laurence Verdan,The Dark Knight (2008),2021-09-08,4
Mouhssine Jacquier,The Godfather (1972),2022-06-03,4
Simon Rordorf,Schindler's List (1993),2022-01-05,4
Mouhssine Dromard,The Dark Knight (2008),2022-02-02,3
Quentin Dromard,The Lord of the Rings: The Two Towers (2002),2022-06-14,1
Ericka Lavanchy,The Lord of the Rings: The Two Towers (2002),2022-02-07,1
Quentin Verdan,Forrest Gump (1994),2021-10-02,2
Raphaël Jacquier,Schindler's List (1993),2022-01-25,3
Marie Olsen,The Lord of the Rings: The Return of the King (2003),2022-02-01,3
Julia Rossi,The Lord of the Rings: The Return of the King (2003),2022-03-20,3
Thierry Rordorf,Inception (2010),2022-02-17,1
Antonio Badillo,Schindler's List (1993),2021-11-17,3
Quentin Berclaz,"The Good, the Bad and the Ugly (1966)",2022-04-02,2
Sélim Olsen,Pulp Fiction (1994),2021-06-28,2
Andrea Stella,Schindler's List (1993),2021-07-15,3
Yannick Rossi,12 Angry Men (1957),2021-07-27,3
Sélim Nicolier,Forrest Gump (1994),2021-10-21,1
Ericka Pravaz,The Shawshank Redemption (1994),2022-02-02,4
Frédéric Dromard,The Godfather (1972),2022-02-22,4
Christophe Zanoun,"The Good, the Bad and the Ugly (1966)",2021-08-30,3
Mohammed Kairouani,The Lord of the Rings: The Return of the King (2003),2022-05-30,3
Mouhssine Pravaz,The Lord of the Rings: The Return of the King (2003),2021-07-03,3
Corentin Dumas,Forrest Gump (1994),2021-07-14,2
Corentin Bouriche,Pulp Fiction (1994),2021-06-25,3
Quentin Olsen,Schindler's List (1993),2022-01-26,4
Georges Milio,The Godfather: Part II (1974),2022-06-10,4
Enea Pravaz,One Flew Over the Cuckoo's Nest (1975),2021-07-19,0
Olivier Mettreaux,Inception (2010),2021-08-19,2
Raphaël Rouge,Fight Club (1999),2021-08-24,2
Simon Di Marco,The Godfather: Part II (1974),2022-03-07,4
Sélim Milio,The Dark Knight (2008),2022-01-25,4
Mélissa Andoine,Star Wars: Episode V - The Empire Strikes Back (1980),2022-01-07,1
Yannick Berclaz,The Godfather (1972),2022-04-20,3
Exupéry Rouge,"The Good, the Bad and the Ugly (1966)",2021-10-31,3
Antonio Berclaz,Schindler's List (1993),2021-09-29,3
Manuel Rouge,Seven Samurai (1954),2022-02-28,1
Frédéric Pravaz,Pulp Fiction (1994),2021-09-03,2
Sylvain Montmollin,Forrest Gump (1994),2021-12-13,1
Mouhssine Dromard,12 Angry Men (1957),2021-12-25,4
Sylvain Mérot,12 Angry Men (1957),2022-01-22,4
Julia Stella,The Godfather: Part II (1974),2022-02-23,4
Georges Berclaz,The Dark Knight (2008),2021-12-11,3
Corentin Milio,One Flew Over the Cuckoo's Nest (1975),2021-11-08,1
Olivier Franco,The Matrix (1999),2022-04-07,1
Murièle Jacquier,The Shawshank Redemption (1994),2021-08-27,4
Quentin Andoine,Inception (2010),2021-11-05,1
Laurence Olsen,Fight Club (1999),2022-05-31,2
Raphaël Gerez,Seven Samurai (1954),2022-05-19,1
Marie Kairouani,The Godfather: Part II (1974),2022-04-09,4
Frédéric Gerez,Seven Samurai (1954),2021-11-25,1
Frédéric Verdan,"The Good, the Bad and the Ugly (1966)",2022-05-15,3
Exupéry Berclaz,The Dark Knight (2008),2022-05-06,4
Olivier Philippe Lavanchy,Inception (2010),2021-08-29,2
Exupéry Rossi,The Godfather (1972),2021-10-07,4
Sélim Mérot,Fight Club (1999),2021-11-15,2
Georges Montmollin,Fight Club (1999),2021-10-27,3
Marie Terra,Star Wars: Episode V - The Empire Strikes Back (1980),2021-07-05,2
Marie Lavanchy,The Dark Knight (2008),2021-08-17,3
Mathieu Olsen,Star Wars: Episode V - The Empire Strikes Back (1980),2021-10-14,1
Georges Verdan,The Lord of the Rings: The Return of the King (2003),2022-05-25,2
Yannick Franco,"The Good, the Bad and the Ugly (1966)",2022-02-17,2
Corentin Gerez,The Godfather: Part II (1974),2022-01-12,4
Patrick Kairouani,The Shawshank Redemption (1994),2021-11-14,5
Manuel Olsen,The Shawshank Redemption (1994),2022-01-11,4
Mélissa Lavanchy,The Lord of the Rings: The Return of the King (2003),2021-06-22,3
Julien Gerez,Pulp Fiction (1994),2022-01-01,2
Marie Andoine,Fight Club (1999),2021-07-19,3
Sélim Badillo,The Shawshank Redemption (1994),2022-04-11,4
Corentin Gerez,Star Wars: Episode V - The Empire Strikes Back (1980),2021-09-27,1
Thierry Milio,Forrest Gump (1994),2021-12-27,1
Frédéric Pravaz,The Dark Knight (2008),2022-05-19,4
Arthur Kunz,The Lord of the Rings: The Return of the King (2003),2021-07-25,3
Mathieu Pravaz,The Godfather (1972),2022-05-16,3
Frédéric Lavanchy,The Lord of the Rings: The Two Towers (2002),2022-05-11,1
Christophe Franco,The Lord of the Rings: The Fellowship of the Ring (2001),2021-08-20,2
Corentin Berclaz,Pulp Fiction (1994),2022-03-20,2
Julia Andoine,One Flew Over the Cuckoo's Nest (1975),2021-12-17,0
Corentin Lavanchy,The Godfather (1972),2021-12-11,3
Quentin Jacquier,Fight Club (1999),2022-04-25,2
Yannick Kunz,The Godfather: Part II (1974),2021-12-06,4
Sélim Rami,"The Good, the Bad and the Ugly (1966)",2022-04-30,3
Raphaël Montmollin,The Shawshank Redemption (1994),2021-07-04,4
Michelle Olsen,The Matrix (1999),2021-10-13,2
Frédéric Fragnière,The Lord of the Rings: The Return of the King (2003),2021-10-12,3
Murièle Mettreaux,Schindler's List (1993),2021-10-03,3
Antonio Jacquier,The Godfather: Part II (1974),2021-07-23,3
Olivier Philippe Verdan,Forrest Gump (1994),2021-10-16,1
Simon Andoine,Star Wars: Episode V - The Empire Strikes Back (1980),2021-09-26,1
Georges Verdan,"The Good, the Bad and the Ugly (1966)",2022-03-09,2
Mohammed Pravaz,Goodfellas (1990),2021-09-13,0
Laurence Fragnière,The Lord of the Rings: The Return of the King (2003),2022-03-22,3
Raphaël Lavanchy,The Lord of the Rings: The Fellowship of the Ring (2001),2022-04-21,2
Michelle Stella,The Godfather (1972),2022-02-04,3
Laurence Pravaz,The Godfather (1972),2022-02-05,4
Mathieu Berclaz,Pulp Fiction (1994),2022-02-02,3
Manuel Terra,The Godfather: Part II (1974),2021-09-01,3
Sélim Bouriche,The Godfather: Part II (1974),2021-12-01,3
Manuel Dumas,The Shawshank Redemption (1994),2022-06-13,4
Corentin Rordorf,The Lord of the Rings: The Return of the King (2003),2022-04-24,2
Julien Terra,The Godfather: Part II (1974),2021-11-26,3
Patrick Berclaz,The Lord of the Rings: The Fellowship of the Ring (2001),2022-06-04,2
Thierry Berclaz,The Shawshank Redemption (1994),2022-03-27,4
Antonio La Spada,Inception (2010),2022-02-05,1
Nicolas Andoine,One Flew Over the Cuckoo's Nest (1975),2021-11-10,0
Enea Montmollin,"The Good, the Bad and the Ugly (1966)",2021-09-05,2
Mathieu Gerez,The Godfather (1972),2021-11-16,4
Julia La Spada,The Lord of the Rings: The Return of the King (2003),2022-04-28,2
Yannick Mutti,The Godfather (1972),2021-08-08,3
Ericka Montmollin,The Godfather: Part II (1974),2021-10-15,3
Raphaël Dumas,Goodfellas (1990),2022-01-01,0
Mouhssine Rossi,The Godfather (1972),2022-04-27,4
Patrick Jacquier,"The Good, the Bad and the Ugly (1966)",2022-06-15,2
Corentin Verdan,Pulp Fiction (1994),2022-06-01,2
Mélissa Terra,The Lord of the Rings: The Return of the King (2003),2021-11-28,2
Arthur Dromard,Seven Samurai (1954),2022-03-14,0
Mouhssine Pravaz,Star Wars: Episode V - The Empire Strikes Back (1980),2021-08-11,2
Marie Milio,Forrest Gump (1994),2021-11-27,2
Arthur Nicolier,Seven (1995),2021-10-18,0
Marie Fragnière,The Lord of the Rings: The Return of the King (2003),2021-09-04,2
Julia Kairouani,12 Angry Men (1957),2022-04-07,4
Mathieu Rordorf,The Lord of the Rings: The Fellowship of the Ring (2001),2022-01-15,2
Andrea Olsen,The Godfather: Part II (1974),2021-09-24,3
Marie Milio,The Lord of the Rings: The Two Towers (2002),2022-03-16,2
Antonio Milio,The Lord of the Rings: The Fellowship of the Ring (2001),2022-01-07,3
Murièle Stella,The Godfather (1972),2022-04-20,4
Patrick Stella,One Flew Over the Cuckoo's Nest (1975),2021-07-05,0
Quentin Kairouani,The Shawshank Redemption (1994),2022-04-04,4
Thierry Montmollin,Goodfellas (1990),2022-02-10,1
Quentin Lavanchy,Fight Club (1999),2021-06-26,3
Olivier Milio,The Matrix (1999),2021-09-28,1
Olivier Philippe Bouriche,The Shawshank Redemption (1994),2021-07-20,4
Julia Di Marco,The Lord of the Rings: The Two Towers (2002),2022-03-09,1
Olivier Philippe Gerez,The Shawshank Redemption (1994),2022-04-11,4
Thierry Rordorf,The Dark Knight (2008),2022-01-19,3
Simon Rouge,12 Angry Men (1957),2021-12-24,3
Ericka Di Marco,The Godfather: Part II (1974),2022-02-06,3
Arthur Milio,The Dark Knight (2008),2021-08-28,4
Sylvain Jacquier,Fight Club (1999),2021-07-28,3
Nicolas Jacquier,Pulp Fiction (1994),2022-01-21,2
Michelle Mutti,Inception (2010),2021-10-03,2
Olivier Tristan Kocher,The Lord of the Rings: The Return of the King (2003),2021-08-15,2
Thierry Kunz,Forrest Gump (1994),2021-07-25,1
Mélissa Dumas,Forrest Gump (1994),2022-04-11,2
Andrea Rossi,Pulp Fiction (1994),2022-05-03,3
Olivier Stella,Schindler's List (1993),2021-09-11,3
Manuel Andoine,The Lord of the Rings: The Two Towers (2002),2021-10-06,1
Antonio Tristan Kocher,The Godfather: Part II (1974),2022-03-13,4
Manuel Dromard,The Matrix (1999),2022-05-28,2
Yannick Nicolier,The Shawshank Redemption (1994),2021-09-24,5
Quentin Kunz,"The Good, the Bad and the Ugly (1966)",2022-04-05,3
Antonio La Spada,The Dark Knight (2008),2021-07-25,4
Exupéry Tristan Kocher,The Lord of the Rings: The Fellowship of the Ring (2001),2021-12-09,3
Corentin Mérot,Pulp Fiction (1994),2021-07-21,2
Julien Olsen,The Lord of the Rings: The Two Towers (2002),2022-01-04,2
Michelle Mettreaux,The Dark Knight (2008),2021-07-22,4
Laurence Terra,Schindler's List (1993),2021-07-11,4
Manuel Di Marco,The Lord of the Rings: The Fellowship of the Ring (2001),2021-10-02,2
Arthur Mettreaux,Forrest Gump (1994),2021-07-02,2
Julia Gerez,The Lord of the Rings: The Two Towers (2002),2022-01-21,1
Arthur Fragnière,Forrest Gump (1994),2021-08-25,2
Enea Rordorf,12 Angry Men (1957),2021-08-12,3
Julia Nicolier,The Godfather (1972),2022-02-06,4
Olivier Fragnière,The Godfather (1972),2022-02-09,4
Olivier Philippe Andoine,The Godfather (1972),2022-05-05,4
Mathieu Franco,The Lord of the Rings: The Fellowship of the Ring (2001),2022-03-22,2
Sylvain Pravaz,Forrest Gump (1994),2022-02-04,2
Sélim Mérot,The Lord of the Rings: The Two Towers (2002),2022-04-10,2
Olivier Rami,Fight Club (1999),2022-05-11,3
Olivier Verdan,12 Angry Men (1957),2022-06-12,4
Murièle Dromard,Schindler's List (1993),2021-09-22,4
Frédéric Mutti,Forrest Gump (1994),2022-06-05,2
Julien Lavanchy,Seven (1995),2021-11-13,0
Laurence Stella,The Godfather: Part II (1974),2021-07-12,4
Sylvain Fragnière,The Lord of the Rings: The Return of the King (2003),2022-03-19,2
Laurence Tristan Kocher,The Lord of the Rings: The Return of the King (2003),2021-09-16,3
Murièle Montmollin,The Godfather (1972),2021-08-06,4
Patrick Zanoun,Fight Club (1999),2022-01-16,3
Antonio Zanoun,"The Good, the Bad and the Ugly (1966)",2022-01-10,3
Yannick Lavanchy,The Dark Knight (2008),2021-10-17,4
Manuel Olsen,The Lord of the Rings: The Fellowship of the Ring (2001),2021-11-20,3
Exupéry Fragnière,Star Wars: Episode V - The Empire Strikes Back (1980),2021-11-17,2
Frédéric Rami,Seven (1995),2021-11-13,0
Laurence Zanoun,12 Angry Men (1957),2021-11-21,3
Frédéric Rordorf,The Lord of the Rings: The Return of the King (2003),2021-09-02,2
Mohammed Di Marco,Goodfellas (1990),2021-07-24,1
Raphaël Jacquier,12 Angry Men (1957),2022-06-02,3
Thierry Kairouani,"The Good, the Bad and the Ugly (1966)",2021-09-27,2
Michelle Zanoun,The Lord of the Rings: The Return of the King (2003),2022-04-12,2
Simon Berclaz,Goodfellas (1990),2021-06-21,1
Laurence Dromard,Inception (2010),2021-12-10,1
Georges Tristan Kocher,Goodfellas (1990),2021-08-25,0
Olivier Franco,Goodfellas (1990),2022-01-25,0
Georges Rami,Pulp Fiction (1994),2021-10-05,2
Antonio Stella,Inception (2010),2021-08-05,1
Sélim Mérot,Schindler's List (1993),2021-07-05,3
Andrea Dumas,Forrest Gump (1994),2022-05-24,1
Manuel Bouriche,The Lord of the Rings: The Return of the King (2003),2022-03-31,2
Christophe Milio,Star Wars: Episode V - The Empire Strikes Back (1980),2021-09-11,1
Manuel Fragnière,The Shawshank Redemption (1994),2022-06-17,5
Ericka Rossi,The Matrix (1999),2022-03-15,2
Olivier Philippe Kunz,Schindler's List (1993),2021-12-27,4
Georges Rossi,Star Wars: Episode V - The Empire Strikes Back (1980),2022-01-21,1
Michelle Mérot,Inception (2010),2021-09-04,1
Julia Mettreaux,The Lord of the Rings: The Return of the King (2003),2022-01-25,2
Frédéric Lavanchy,The Lord of the Rings: The Fellowship of the Ring (2001),2022-01-21,2
Julia La Spada,The Godfather: Part II (1974),2021-06-27,4
Nicolas Berclaz,Pulp Fiction (1994),2021-10-02,3
Laurence Olsen,"The Good, the Bad and the Ugly (1966)",2022-04-08,3
Ericka Rouge,The Dark Knight (2008),2022-04-28,3
Raphaël Zanoun,Fight Club (1999),2021-06-27,3
Mathieu Gerez,Pulp Fiction (1994),2022-01-25,2
Patrick La Spada,Forrest Gump (1994),2021-06-21,1
Antonio Rouge,The Dark Knight (2008),2021-07-11,3
Mélissa Zanoun,Pulp Fiction (1994),2022-05-26,3
Christophe Milio,Fight Club (1999),2021-11-08,3
Laurence Mutti,12 Angry Men (1957),2021-10-20,4
Thierry Terra,Inception (2010),2021-12-14,2
Mouhssine Gerez,The Lord of the Rings: The Fellowship of the Ring (2001),2022-05-27,2
Laurence Kairouani,12 Angry Men (1957),2021-09-29,4
Manuel Stella,Forrest Gump (1994),2021-10-09,2
Ericka Berclaz,The Lord of the Rings: The Fellowship of the Ring (2001),2021-07-22,3
Sylvain Bouriche,12 Angry Men (1957),2022-01-11,3
Marie Milio,12 Angry Men (1957),2022-01-12,3
Enea Gerez,Fight Club (1999),2021-12-23,3
Olivier Andoine,The Lord of the Rings: The Return of the King (2003),2021-11-10,2
Michelle Fragnière,The Godfather: Part II (1974),2021-12-30,3
Andrea Verdan,Schindler's List (1993),2021-10-30,3
Murièle Gerez,The Lord of the Rings: The Fellowship of the Ring (2001),2021-10-05,3
Quentin Berclaz,12 Angry Men (1957),2021-07-12,3
Murièle Kairouani,Schindler's List (1993),2021-08-21,3
Mathieu Mutti,Schindler's List (1993),2021-09-27,3
Olivier Philippe Milio,The Lord of the Rings: The Return of the King (2003),2021-10-17,2
Michelle Tristan Kocher,The Shawshank Redemption (1994),2021-10-21,4
Patrick Franco,"The Good, the Bad and the Ugly (1966)",2022-03-29,2
Raphaël Kairouani,12 Angry Men (1957),2022-02-07,4
Antonio Bouriche,Forrest Gump (1994),2021-06-20,1
Mouhssine Rordorf,The Godfather (1972),2021-08-13,3
